(DROPOFF TA_XNunez XBooth)
(WALK TA_XHall XBray XCosta)
(WALK TA_XHall XCosta XBlack)
(WALK TA_XHall XBlack XBurns)
(WALK TA_XHall XBurns XGrose)
(WALK TA_XHall XGrose XBoyd)
(WALK TA_XHall XBoyd XTerry)
(WALK TA_XHall XTerry XDavis)
(WALK TA_XHall XDavis XVann)
(WALK TA_XHall XVann XMachenry)
(WALK TA_XHall XMachenry XBurroughs)
(WALK TA_XHall XBurroughs XJarrette)
(WALK TA_XHall XJarrette XSung)
(WALK TA_XHall XSung XNorwood)
(WALK TA_XHall XNorwood XBradley)
(WALK TA_XHall XBradley XCurry)
(WALK TA_XHall XCurry XBurditt)
(WALK TA_XHall XBurditt XWhitmore)
(WALK TA_XHall XWhitmore XBeebe)
(WALK TA_XHall XBeebe XPoirrier)
(WALK TA_XHall XPoirrier XReed)
(WALK TA_XHall XReed XLynn)
(WALK TA_XHall XLynn XLy)
(WALK TA_XHall XLy XYoung)
(WALK TA_XHall XYoung XHall)
(WALK TA_XHall XHall XObrien)
(HOMESAFE TA_XHall Xobrien)
(DROPOFF TA_XLangley XBooth)
(WALK TA_XLangley XBooth XWebb)
(WALK TA_XLangley XWebb XPhipps)
(WALK TA_XLangley XPhipps XVolz)
(WALK TA_XLangley XVolz XAcuff)
(WALK TA_XLangley XAcuff XGale)
(WALK TA_XLangley XGale XBell)
(WALK TA_XLangley XBell XScofield)
(WALK TA_XLangley XScofield XWare)
(WALK TA_XLangley XWare XCrain)
(WALK TA_XLangley XCrain XMondesir)
(WALK TA_XLangley XMondesir XWhite)
(WALK TA_XLangley XWhite XValdez)
(WALK TA_XLangley XValdez XKrul)
(WALK TA_XLangley XKrul XCorey)
(WALK TA_XLangley XCorey XTrimarchi)
(WALK TA_XLangley XTrimarchi XRoy)
(WALK TA_XLangley XRoy XHogans)
(WALK TA_XLangley XHogans XBray)
(WALK TA_XLangley XBray XCosta)
(WALK TA_XLangley XCosta XBlack)
(WALK TA_XLangley XBlack XBurns)
(WALK TA_XLangley XBurns XGrose)
(WALK TA_XLangley XGrose XBoyd)
(WALK TA_XLangley XBoyd XTerry)
(WALK TA_XLangley XTerry XDavis)
(WALK TA_XLangley XDavis XVann)
(WALK TA_XLangley XVann XMachenry)
(WALK TA_XLangley XMachenry XBurroughs)
(WALK TA_XLangley XBurroughs XJarrette)
(WALK TA_XLangley XJarrette XSung)
(WALK TA_XLangley XSung XNorwood)
(WALK TA_XLangley XNorwood XBradley)
(WALK TA_XLangley XBradley XCurry)
(WALK TA_XLangley XCurry XBurditt)
(WALK TA_XLangley XBurditt XWhitmore)
(WALK TA_XLangley XWhitmore XBeebe)
(WALK TA_XLangley XBeebe XPoirrier)
(WALK TA_XLangley XPoirrier XReed)
(WALK TA_XLangley XReed XLynn)
(WALK TA_XLangley XLynn XLy)
(WALK TA_XLangley XLy XYoung)
(WALK TA_XLangley XYoung XHall)
(WALK TA_XLangley XHall XObrien)
(WALK TA_XLangley XObrien XRodriguez)
(HOMESAFE TA_XLangley Xrodriguez)
(DROPOFF TA_XTrent XBooth)
(WALK TA_XTrent XBooth XWebb)
(WALK TA_XTrent XWebb XPhipps)
(WALK TA_XTrent XPhipps XVolz)
(WALK TA_XTrent XVolz XAcuff)
(WALK TA_XTrent XAcuff XGale)
(WALK TA_XTrent XGale XBell)
(WALK TA_XTrent XBell XScofield)
(WALK TA_XTrent XScofield XWare)
(WALK TA_XTrent XWare XCrain)
(WALK TA_XTrent XCrain XMondesir)
(WALK TA_XTrent XMondesir XWhite)
(WALK TA_XTrent XWhite XValdez)
(WALK TA_XTrent XValdez XKrul)
(WALK TA_XTrent XKrul XCorey)
(WALK TA_XTrent XCorey XTrimarchi)
(WALK TA_XTrent XTrimarchi XRoy)
(WALK TA_XTrent XRoy XHogans)
(WALK TA_XTrent XHogans XBray)
(WALK TA_XTrent XBray XCosta)
(WALK TA_XTrent XCosta XBlack)
(WALK TA_XTrent XBlack XBurns)
(WALK TA_XTrent XBurns XGrose)
(WALK TA_XTrent XGrose XBoyd)
(WALK TA_XTrent XBoyd XTerry)
(WALK TA_XTrent XTerry XDavis)
(WALK TA_XTrent XDavis XVann)
(WALK TA_XTrent XVann XMachenry)
(WALK TA_XTrent XMachenry XBurroughs)
(WALK TA_XTrent XBurroughs XJarrette)
(WALK TA_XTrent XJarrette XSung)
(WALK TA_XTrent XSung XNorwood)
(WALK TA_XTrent XNorwood XBradley)
(WALK TA_XTrent XBradley XCurry)
(WALK TA_XTrent XCurry XBurditt)
(WALK TA_XTrent XBurditt XWhitmore)
(WALK TA_XTrent XWhitmore XBeebe)
(WALK TA_XTrent XBeebe XPoirrier)
(WALK TA_XTrent XPoirrier XReed)
(WALK TA_XTrent XReed XLynn)
(WALK TA_XTrent XLynn XLy)
(WALK TA_XTrent XLy XYoung)
(WALK TA_XTrent XYoung XHall)
(WALK TA_XTrent XHall XObrien)
(WALK TA_XTrent XObrien XRodriguez)
(WALK TA_XTrent XRodriguez XJoseph)
(HOMESAFE TA_XTrent Xjoseph)
(DROPOFF TA_XYoung XBooth)
(WALK TA_XYoung XBooth XWebb)
(WALK TA_XYoung XWebb XPhipps)
(WALK TA_XYoung XPhipps XVolz)
(WALK TA_XYoung XVolz XAcuff)
